all_bin_bots,all_bin_tops,all_kurt
2521.0000038146973,2521.0000038146973,-0.052460680146263705
2521.1250038146973,2521.1250038146973,-0.884209335564047
2521.2500038146973,2521.2500038146973,-1.179541922288344
2521.3750038146973,2521.3750038146973,-0.9192303163044899
2521.5000038146973,2521.5000038146973,-0.9141568869512646
2521.6250038146973,2521.6250038146973,-1.1822057304318396
2521.7500038146973,2521.7500038146973,-0.87536545321132
2521.8750038146973,2521.8750038146973,-0.029648082129167364
2522.0000038146973,2522.0000038146973,-0.049747676856042755
2522.1250038146973,2522.1250038146973,-0.9094253458974495
2522.2500038146973,2522.2500038146973,-1.1857116542105786
2522.3750038146973,2522.3750038146973,-0.922397095295576
2522.5000038146973,2522.5000038146973,-0.9204559820346865
2522.6250038146973,2522.6250038146973,-1.1802505944983102
